name;question;ansA;ansB;ansC;correct
Fontanna Potop;Z czego wykonane są figury w fontannie?;Z plastiku z recyklingu;Z brązu (rekonstrukcja);Z wosku pszczelego;B
Fontanna Potop;Jaką scenę biblijną przedstawia fontanna?;Potop;Ostatnią Wieczerzę;Walkę Dawida z Goliatem;A
Pomnik Kopernika;Jaki nietypowy kształt ma ten pomnik?;Wysokiej, ażurowej konstrukcji z kulami;Jest to klasyczne popiersie;Kopernik siedzi w fotelu;A
Pomnik Kopernika;Co trzyma w dłoni Mikołaj Kopernik na tym pomniku?;Globus;Astrolabium (sferę niebieską);Kanapkę;A
Ławeczka Mariana Rejewskiego;Co trzyma w ręku Marian Rejewski?;Smartfona;Notatnik z zapiskami kryptologicznymi;Filiżankę kawy;B
Ławeczka Mariana Rejewskiego;Z czego zasłynął Rejewski?;Wymyślił pizzę hawajską;Złamał kod Enigmy;Zbudował Wieżę Eiffla;B
Pomnik św. Jana Nepomucena;Kogo chronić ma św. Jan Nepomucen?;Przed korkami na mieście;Przed powodzią;Przed brakiem WiFi;B
Pomnik św. Jana Nepomucena;Co trzyma w rękach święty?;Krzyż i palmę męczeństwa;Miecz świetlny;Wiosło;A
Rzeźba Flisaka;Kogo upamiętnia ta rzeźba?;Rycerzy zakonnych;Górników;Spławiaczy drewna (flisaków);C
Rzeźba Flisaka;Gdzie stoi Flisak?;Na dachu wieżowca;W środku parku;Na bulwarze nad rzeką;C
Pomnik Szwalbego;Kim był Andrzej Szwalbe dla Bydgoszczy?;Wizjonerem i twórcą Filharmonii;Słynnym piłkarzem;Wymyślił przepis na pierogi;A
Pomnik Szwalbego;W jakiej pozie uchwycono Szwalbego?;Dynamicznej, jakby gdzieś szedł;Leżącej na hamaku;Siedzącej przy biurku;A
Pomnik Leona Barciszewskiego;Gdzie obecnie stoi ten pomnik?;Na środku rzeki;W lesie;Na Wełnianym Rynku;C
Pomnik Leona Barciszewskiego;Kim był Leon Barciszewski?;Słynnym kucharzem;Operatorem kamery;Przedwojennym prezydentem miasta;C
Pomnik Marii Konopnickiej;Czego autorką była Maria Konopnicka?;Sagi o Wiedźminie;Roty i bajek dla dzieci;Hymnu Ligi Mistrzów;B
Pomnik Marii Konopnickiej;Kto towarzyszy poetce na niektórych pomnikach (i w bajkach)?;Krasnoludki;Smoki;Roboty;A
Tańczące Fontanny;Gdzie znajdują się te fontanny?;Przed Filharmonią Pomorską;Na środku Starego Rynku;W piwnicy muzeum;A
Tańczące Fontanny;Co robią te fontanny wieczorami?;Parzą kawę;Grają spektakl światła i dźwięku;Zamieniają się w lód;B
Cztery Pory Roku;Ile rzeźb wchodzi w skład tej grupy?;Dwie (Lato i Zima);Dwanaście (Miesiące);Cztery (Wiosna, Lato, Jesień, Zima);C
Cztery Pory Roku;Gdzie stoją te rzeźby?;W centrum handlowym;Na parkingu podziemnym;W parku w Dzielnicy Muzycznej;C
Wielkie Krzesła na Wyspie Młyńskiej;Co można zrobić pod tymi krzesłami?;Kupić bilet do kina;Zjeść obiad;Swobodnie przejść (są ogromne);C
Wielkie Krzesła na Wyspie Młyńskiej;Jaki charakter ma ta instalacja?;Artystyczny i nowoczesny;Historyczny i smutny;Wojskowy;A
Kazimierz Wielki;Na czym siedzi król na pomniku?;Na tronie;Na motocyklu;Na koniu;A
Kazimierz Wielki;Co król trzyma w dłoni?;Berło i akt lokacyjny miasta;Miecz świetlny;Kubek z kawą;C
Brama z luster;Co widzisz patrząc na tę rzeźbę?;Swoje odbicie (często zniekształcone);Telewizję;Przejście do innego wymiaru;B
Brama z luster;Gdzie stoi ta instalacja?;W lesie;Przy ulicy, blisko chodnika;Na środku rzeki;B
Bydgoskie Autografy;Gdzie znajdziesz te podpisy?;Wmurowane w nawierzchnię ulicy Długiej;Na ścianie Ratusza;Na suficie w muzeum;A
Bydgoskie Autografy;Kogo upamiętniają te podpisy?;Tylko królów Polski;Postacie z bajek;Osoby zasłużone dla Bydgoszczy;C
Pomnik Wiose;Jaki kształt ma ten pomnik?;Pionowo ustawionych wioseł;Wielkiej łodzi podwodnej;Kotwicy;A
Pomnik Wiose;Gdzie znajduje się ten pomnik?;Przy torze regatowym w Brdyujściu;W centrum handlowym;Na dachu wieżowca;A
Łuczniczka Nova;Gdzie stoi nowa wersja Łuczniczki?;Przed wejściem do Opery Nova;Na stadionie piłkarskim;W zoo;A
Łuczniczka Nova;Czym różni się od starej Łuczniczki?;Ma narty zamiast łuku;Jest zrobiona z drewna;Ma nowoczesną, lśniącą formę;C
18. Południk;Co wyznacza ten "pomnik"?;Granicę miasta;Miejsce ukrycia skarbu;Przebieg 18. południka;C
18. Południk;Gdzie szukać oznaczenia południka?;W McDonaldzie;Na Wyspie Młyńskiej;Na dworcu PKP;B
Spodnie Andrzeja;Co przedstawia ta rzeźba?;Same spodnie (dżinsy) z brązu;Całego człowieka w garniturze;Spódniczkę mini;A
Spodnie Andrzeja;Jaki charakter ma ta rzeźba?;Tragiczny;Religijny;Humorystyczny;C
Pomnik Tysiąclecia Państwa Polskiego;Jak potocznie nazywany jest ten pomnik?;Trójnóg;Patyk;Grzyb;A
Pomnik Tysiąclecia Państwa Polskiego;Z jakiego materiału jest wykonany?;Z plasteliny;Z betonu i metalu;Z bursztynu;B
Apel Więźniarek;Kogo upamiętnia ten pomnik?;Kobiety prześladowane i więzione;Uczennice na wagarach;Turystki;B
Apel Więźniarek;Jaki nastrój budzi ten pomnik?;Radości i zabawy;Dumy z wygranej w lotto;Zadumy i pamięci o cierpieniu;C
Pomnik Walki i Męczeństwa;Gdzie stoi ten masywny pomnik?;Na Starym Rynku;W lesie za miastem;Na plaży;A
Pomnik Walki i Męczeństwa;Co symbolizuje ta rzeźba?;Zabawę w chowanego;Cierpienie i egzekucje mieszkańców;Taniec ludowy;B
Pomnik Nieznanego Powstańca Wielkopolskiego;Jaki historyczny zryw upamiętnia?;Bitwę pod Grunwaldem;Odkrycie Ameryki;Powstanie Wielkopolskie;C
Pomnik Nieznanego Powstańca Wielkopolskiego;Gdzie znajduje się pomnik?;Przy ul. Bernardyńskiej;W piwnicy;Na dachu wieżowca;A
Runda I;Jaki kształt mają te rzeźby?;Realistycznych zwierząt;Realistycznych ludzi;Abstrakcyjnych, obłych form;C
Runda I;Gdzie znajduje się ta rzeźba?;Przed Galerią Miejską bwa;W zoo;Na dworcu autobusowym;A
Fontanna Studzienka;Kto (lub co) znajduje się na szczycie fontanny?;Dzieci bawiące się z gęsią;Rycerz na koniu;Wielka żaba;A
Fontanna Studzienka;Gdzie stoi ta fontanna?;Na środku autostrady;Na Starym Rynku (przy bibliotece);W rzece;B
Trzy Gracje;Ile kobiet przedstawia rzeźba?;Jedną;Pięć;Trzy;C
Trzy Gracje;Co podobno przynosi dotknięcie rzeźby?;Szczęście;Mandat;Deszcz;C
Przebudzenie Elfów;Jakie postacie przedstawia rzeźba?;Żołnierzy;Kosmitów;Elfy wkomponowane w drzewo;C
Przebudzenie Elfów;Gdzie ukryta jest ta rzeźba?;W Alei Mickiewicza (wśród zieleni);W tunelu;Na środku ronda;A
Pomnik Wincentego Witosa;Kim był Wincenty Witos?;Premierem i przywódcą ludowym;Słynnym piłkarzem;Astrofizykiem;B
Pomnik Wincentego Witosa;Co ma na głowie (lub w ręku) Witos na niektórych pomnikach?;Kask budowlany;Smartfon;Kapelusz (często kojarzony z ludowcami);C
Pomnik Poległych (Stary Fordon);Gdzie znajduje się ten pomnik?;Na Rynku w Starym Fordonie;Na lotnisku;W Bydgoszczy Głównej;A
Pomnik Poległych (Stary Fordon);Kogo upamiętnia?;Poległych mieszkańców Fordonu;Zwycięzców turnieju szachowego;Budowniczych mostu;C
Pomnik Henryka Sienkiewicza;Czego autorem był Sienkiewicz?;Harry'ego Pottera;Krzyżaków i Trylogii;Władcy Pierścieni;C
Pomnik Henryka Sienkiewicza;Co było wyjątkowego w tym pomniku?;Był pierwszym pomnikiem Sienkiewicza w Polsce;Jest zrobiony ze złota;Śpiewa piosenki;A
Pomnik Ignacego Jana Paderewskiego;Na jakim instrumencie grał Paderewski?;Na gitarze elektrycznej;Na perkusji;Na fortepianie;C
Pomnik Ignacego Jana Paderewskiego;Gdzie stoi jego pomnik?;W centrum handlowym;W lesie;W Dzielnicy Muzycznej (parku);C
Pomnik Fryderyka Chopina;Jakiej narodowości był Chopin?;Czeskiej;Polskiej;Włoskiej;B
Pomnik Fryderyka Chopina;Co komponował Chopin?;Muzykę techno;Utwory fortepianowe (mazurki, nokturny);Muzykę do gier wideo;B
Pomnik Jana Sebastiana Bacha;Z jakiego kraju pochodził Bach?;Z Hiszpanii;Z Japonii;Z Niemiec;C
Pomnik Jana Sebastiana Bacha;Co ma na głowie Bach na rzeźbie?;Czapkę z daszkiem;Perukę z epoki baroku;Kask motocyklowy;B
Pomnik Claude'a Debussy;Jaki nurt muzyczny reprezentował?;Heavy metal;Rap;Impresjonizm;A
Pomnik Claude'a Debussy;Gdzie znajdziesz jego pomnik?;W parku Kochanowskiego (galeria kompozytorów);Na stadionie;W rzece;B
Pomnik Ludomira Różyckiego;Z jakim okresem w sztuce był związany?;Średniowiecze;Młoda Polska;Futuryzm;B
Pomnik Ludomira Różyckiego;Co robił Różycki?;Malował obrazy;Grał w piłkę;Był kompozytorem i dyrygentem;C
Pomnik Stanisława Moniuszki;Jaką słynną operę napisał Moniuszko?;Halka;Król Lew;Gwiezdne Wojny;A
Pomnik Stanisława Moniuszki;W jakiej dzielnicy stoi jego pomnik?;W przemysłowej;Na lotnisku;W Dzielnicy Muzycznej;C
Pomnik Mieczysława Karłowicza;Co kochał Karłowicz oprócz muzyki?;Gry komputerowe;Tatry i taternictwo;Wyścigi Formuły 1;B
Pomnik Mieczysława Karłowicza;Jak zginął Karłowicz?;Pod lawiną w górach;W bitwie morskiej;Spadł z konia;A
Pomnik Antonina Dvoraka;Skąd pochodził Dvorak?;Z Czech;Z Australii;Z Kanady;A
Pomnik Antonina Dvoraka;Jakie jest jego najsłynniejsze dzieło?;Symfonia "Z Nowego Świata";Wlazł kotek na płotek;Marsz weselny;A
Pomnik Karola Kurpińskiego;W jakim wieku tworzył Kurpiński?;W XXI wieku;W starożytności;W XIX wieku;A
Pomnik Karola Kurpińskiego;Do jakiej pieśni skomponował melodię?;Do "Warszawianki";Do "Despacito";Do "Szła dzieweczka do laseczka";A
Zaraz Zagramy;Co robią postacie na tej rzeźbie?;Jedzą pizzę;Grają w karty;Przygotowują się do koncertu (stroją instrumenty);C
Zaraz Zagramy;Gdzie znajduje się ta scenka?;Na boisku szkolnym;W Dzielnicy Muzycznej;W zoo;B
Obelisk gen. Henryka Dąbrowskiego;Gdzie stoi ten obelisk?;Na plaży;W piwnicy;Na Wzgórzu Dąbrowskiego;C
Obelisk gen. Henryka Dąbrowskiego;Kogo upamiętnia?;Twórcę Legionów Polskich;Kucharza;Architekta;A
Igor Strawinski;Czego autorem jest Strawinski?;Słynnego baletu "Święto Wiosny";Hymnu Polski;Muzyki disco-polo;B
Igor Strawinski;W jakim wieku tworzył?;W średniowieczu;W XX wieku;W epoce kamienia łupanego;A
Grażyna Bacewicz;Na czym grała Grażyna Bacewicz?;Na skrzypcach;Na trąbce;Na perkusji;A
Grażyna Bacewicz;Kim była Bacewicz?;Modelką;Wybitną kompozytorką i skrzypaczką;Aktorką komediową;B
Polery na nabrzeżu Urbanyiego;Co to są "polery"?;Rodzaj butów;Słupki do cumowania statków;Rodzaj lodów;B
Polery na nabrzeżu Urbanyiego;Jaki charakter mają te polery?;Są tylko brudne i stare;Są artystyczną rzeźbą użytkową;Są zrobione z papieru;A
Obelisk na Placu Wolności;Gdzie stoi ten pomnik?;Na Placu Wolności;Na dachu kościoła;W rzece;A
Obelisk na Placu Wolności;Jaki kształt ma pomnik?;Wysokiego słupa (iglicy);Kuli;Piramidy;C
Kamień upamiętniający bydgoskich Żydów;Co stało w tym miejscu przed wojną?;Wielka Synagoga;Zamek królewski;Lotnisko;B
Kamień upamiętniający bydgoskich Żydów;Kogo upamiętnia ten głaz?;Bydgoskich Żydów zamordowanych w czasie wojny;Budowniczych metra;Zwycięzców maratonu;A
Pomnik Wędrowca;Co robi Wędrowiec na rzeźbie?;Biegnie sprintem;Czeka na przejście przez ulicę (stoi);Śpi na ławce;B
Pomnik Wędrowca;Gdzie stoi Wędrowiec?;W lesie;Na dachu;Na skrzyżowaniu Gdańskiej i Pomorskiej;C
Pomnik krasnoludków;Z jakiej bajki pochodzą te krasnoludki?;O krasnoludkach i sierotce Marysi;Królewna Śnieżka;Smerfy;A
Pomnik krasnoludków;Kto jest autorką tej bajki?;Maria Konopnicka;J.K. Rowling;Astrid Lindgren;A
Makieta dawnej Bydgoszczy;Co przedstawia ta makieta?;Bydgoszcz w roku 2050;Historyczny wygląd miasta (z zamkiem i murami);Mapę Warszawy;B
Makieta dawnej Bydgoszczy;Gdzie znajduje się makieta?;W Warszawie;Przy ul. Mostowej w Bydgoszczy;W Nowym Jorku;B
